|                        :vn-name |                       :name | :no-imgs | :no-vn-imgs | :train? |
|               Bướm giáp ba vạch |              Kaniska_canace |       96 |           4 |       ✅ |
|               Bướm báo hoa vàng |              Cethosia_cyane |       95 |           4 |       ✅ |
|          Bướm băng vàng dải cam |         Pantoporia_hordonia |       94 |           4 |       ✅ |
|                  Bướm chai xanh |           Graphium_sarpedon |       94 |           4 |       ✅ |
|               Bướm giáp đa hình |           Euripus_nyctelius |       91 |           4 |       ✅ |
|           Bướm nâu gân cánh đen |             Appias_libythea |       91 |           4 |       ✅ |
|                   Bướm kim vàng |              Acraea_issoria |       89 |           4 |       ✅ |
|                 Bướm hình khiên |            Parthenos_sylvia |       88 |           4 |       ✅ |
|                 Bướm phượng lớn |              Papilio_memnon |       88 |           4 |       ✅ |
|              Bướm chiều nâu tối |           Melanitis_phedima |       86 |           4 |       ✅ |
|               Bướm đốm xanh lớn |            Euploea_mulciber |       86 |           4 |       ✅ |
|           Bướm phượng đuôi nheo |          Lamproptera_curius |       86 |           4 |       ✅ |
|       Bướm thượng sỹ nhiều răng |                Athyma_ranga |       84 |           4 |       ✅ |
|             Bướm bụng sọc trắng |               Athyma_perius |       83 |           4 |       ✅ |
|          Bướm sọc trắng vạch đỏ |          Athyma_selenophora |       78 |           4 |       ✅ |
|           Bướm cánh phượng kiếm |         Graphium_antiphates |       77 |           4 |       ✅ |
|           Bướm hề vạch gấp khúc |                 Caleta_elna |       77 |           4 |       ✅ |
|                  Bướm lông mượt |             Ariadne_ariadne |       76 |           4 |       ✅ |
|                    Bướm lá vàng |      Doleschallia_bisaltide |       75 |           4 |       ✅ |
|         Bướm cánh hình lưỡi cưa |         Prioneris_thestylis |       74 |           4 |       ✅ |
|          Bướm bụi nâu dải trắng |           Mycalesis_anaxias |       71 |           4 |       ✅ |
|           Bướm phượng đen tuyền |              Papilio_bianor |       70 |           4 |       ✅ |
|      Bướm bản đồ nhỏ nâu cam đỏ |            Chersonesia_risa |       69 |           4 |       ✅ |
|                    Bướm hiệp sỹ |              Lebadea_martha |       69 |           4 |       ✅ |
|                Bướm cây nâu sọc |                 Lethe_verma |       69 |           4 |       ✅ |
|            Bướm nhảy vạch trắng |        Notocrypta_paralysos |       69 |           4 |       ✅ |
|              Bướm cánh sọc chéo |               Lethe_confusa |       68 |           4 |       ✅ |
|                   Bướm màu đồng |            Rapala_pheretima |       67 |           4 |       ✅ |
|      Bướm phượng bốn mảng trắng |            Papilio_nephelus |       66 |           4 |       ✅ |
|                Bướm hề dải xanh |           Discolampa_ethion |       65 |           4 |       ✅ |
|                   Bướm ngựa vằn |              Jamides_alecto |       65 |           4 |       ✅ |
|                 Bướm báo hoa đỏ |             Cethosia_biblis |       64 |           4 |       ✅ |
|     Bướm giáp ngọc chót râu đen |               Lexias_dirtea |       63 |           4 |       ✅ |
|              Bướm nâu đuôi xanh |              Tanaecia_julii |       61 |           4 |       ✅ |
|               Bướm nâu cánh bạc |             Euthalia_monina |       60 |           4 |       ✅ |
|   Bướm lính thủy sọc trắng ngắn |          Phaedyma_columella |       60 |           4 |       ✅ |
|            Bướm phượng xanh lớn |            Papilio_protenor |       59 |           4 |       ✅ |
|                      Bướm loang |             Delias_pasithoe |       58 |           4 |       ✅ |
|                       Bướm đuôi |              Vagrans_egista |       50 |           4 |       ✅ |
|           Bướm nữ hoàng  đốm đỏ |           Delias_descombesi |       49 |           4 |       ✅ |
|                Bướm báo hoa nhỏ |            Phalanta_alcippe |       48 |           4 |       ✅ |
|         Bướm cối xay gió thường |            Byasa_polyeuctes |       48 |           4 |       ✅ |
|                       Bướm trúc |         Discophora_sondaica |       48 |           4 |       ✅ |
|                Bướm bụi nâu đen |            Mycalesis_mineus |       48 |           4 |       ✅ |
|                Bướm hổ cánh nâu |              Parantica_sita |       45 |           4 |       ✅ |
| Bướm phượng cánh chim chấm liền |              Troides_helena |       44 |           4 |       ✅ |
|       Bướm thiên đường rừng rậm |           Thaumantis_diores |       44 |           4 |       ✅ |
|                 Bướm đuôi mamax |             Charaxes_marmax |       43 |           4 |       ✅ |
|                   Bướm gia đình |            Cirrochroa_tyche |       40 |           4 |       ✅ |
|         Bướm thượng sỹ cam vàng |                 Athyma_cama |       37 |           4 |       ✅ |
|               Bướm cánh viền đỏ |             Delias_hyparete |       37 |           4 |       ✅ |
|    Bướm nam tước chóp đuôi xanh |            Euthalia_phemius |       37 |           4 |       ✅ |
|        Bướm ngựa vằn trung bình |           Graphium_macareus |       37 |           4 |       ✅ |
|           Bướm bụi thông thường |           Mycalesis_perseus |       37 |           4 |       ✅ |
|                  Bướm nhảy rừng |          Astictopterus_jama |       35 |           4 |       ✅ |
|                Bướm sọc bạc đứt |             Spindasis_syama |       35 |           4 |       ✅ |
|            Bướm chiều đốm tuyết |             Tagiades_menaka |       35 |           4 |       ✅ |
|                    Bướm quạ lớn |         Euploea_radamanthus |       34 |           4 |       ✅ |
|            Bướm hổ gân cánh đen |           Danaus_melanippus |       34 |           4 |       ✅ |
|        Bướm nhảy cuối cánh vàng |        Mooreana_trichoneura |       34 |           4 |       ✅ |
|      Bướm phượng đuôi kiếm xích |           Graphium_aristeus |       33 |           4 |       ✅ |
|               Bướm ngựa vằn lớn |           Graphium_xenocles |       33 |           4 |       ✅ |
|              Bướm thượng sỹ nhỏ |               Athyma_zeroca |       33 |           4 |       ✅ |
|      Bướm cánh bản đồ cẩm thạch |             Cyrestis_cocles |       32 |           4 |       ✅ |
|                 Bướm nâu thường |               Faunis_canens |       29 |           4 |         |
|         Bướm nữ hoàng cánh vàng |             Delias_agostina |       29 |           4 |         |
|                Bướm gốc cánh đỏ |         Prioneris_philonome |       29 |           4 |         |
|             Bướm lính thủy vàng |                 Neptis_miah |       28 |           4 |         |
|        Bướm xích trắng nhân đen |                Athyma_asura |       27 |           4 |         |
|        Bướm nhảy chấm trắng nhỏ |                Hasora_vitta |       27 |           4 |         |
|                   Bướm tia nắng |               Curetis_bulis |       25 |           4 |         |
|      Bướm phượng xanh đuôi nheo |           Lamproptera_meges |       25 |           4 |         |
|                Bướm cuốn lá lớn |              Pelopidas_agna |       24 |           4 |         |
|        Bướm mắt rắn vằn bảy đốm |            Ragadia_crisilda |       23 |           4 |         |
|               Bướm chiều mắt đỏ |            Matapa_sasivarna |       22 |           4 |         |
|              Bướm hề vạch thẳng |                Caleta_roxus |       20 |           4 |         |
|  Bướm phượng cánh chim chấm rời |              Troides_aeacus |       20 |           4 |         |
|                    Bướm màu cam |          Yasoda_tripunctata |       19 |           4 |         |
|           Bướm nâu hai đốm vàng |               Faunis_eumeus |       19 |           4 |         |
|    Bướm quạ cánh trước xanh đậm |               Euploea_algea |       18 |           4 |         |
|            Bướm phượng dải xanh |            Papilio_demolion |       18 |           4 |         |
|        Bướm cỏ hoa thông thường |           Drupadia_ravindra |       17 |           4 |         |
|         Bướm dải trắng chóp cam |                Athyma_nefte |       17 |           4 |         |
|      Bướm giáp ngọc chót râu đỏ |             Lexias_pardalis |       16 |           4 |         |
|            Bướm chúa hại cọ dầu |         Amathusia_phidippus |       16 |           4 |         |
|                  Bướm ê ke xanh |          Graphium_eurypylus |       15 |           4 |         |
|      Bướm kim cương huyền thoại |        Amathuxidia_amythaon |       14 |           4 |         |
|               Bướm đốm xanh nhỏ |           Euploea_tulliolus |       13 |           4 |         |
|         Bướm phượng hê len xanh |           Papilio_prexaspes |       13 |           4 |         |
|   Bướm phượng đuôi kiếm răng tù |      Teinopalpus_imperialis |       13 |           4 |         |
|          Bướm viền nâu hai đuôi |      Hypolycaena_thecloides |       13 |           4 |         |
|                  Bướm cam di cư |           Catopsilia_scylla |       12 |           4 |         |
|                    Bướm tím nhỏ |           Terinos_terpander |       12 |           4 |         |
|                Bướm cỏ đốm xanh |            Ideopsis_similis |       12 |           4 |         |
|               Bướm nữ thần vàng |            Aemona_amathusia |       12 |           4 |         |
|          Bướm vàng băng cam nhỏ |          Pantoporia_sandaka |       11 |           4 |         |
|           Bướm hổ gốc cánh vàng |           Parantica_aspasia |       10 |           4 |         |
|          Bướm lá khô vạch trắng |        Kallima_albofasciata |       10 |           4 |         |
|         Bướm phượng đuôi lá cải |             Byasa_crassipes |        9 |           4 |         |
|            Bướm mắt rắn đa hình |              Neope_armandii |        9 |           4 |         |
|               Bướm ngựa vằn nhỏ |            Graphium_megarus |        9 |           4 |         |
|                  Bướm chúa rừng |              Thauria_aliris |        8 |           4 |         |
|          Bướm mắt rắn cánh xanh |             Coelites_nothis |        5 |           4 |         |
|               Bướm nhảy màu nâu |             Lambrix_salsala |        4 |           4 |         |
|                    Bướm hại mai |            Neptis_columella |        4 |           4 |         |
|               Bướm đen đốm vàng |             Polyura_athamas |        4 |           4 |         |
|                  Bướm cánh rộng |           Hypolimnas_bolima |        4 |           4 |         |
